Secteur,Nom,Date création,Adresse,Code postal,Ville,Département,Téléphone,Email,Site web,SIREN,NAF
"Entretien corporel (spa, hammam...)",KAIRE,2025-11-06,28 AVENUE DE GRANDCHAMP 78230 LE PECQ,78230,LE PECQ,78,,,,993651439,96.04Z
Soins de beauté / esthétique,CLEARUP PARIS,2025-11-02,8 RUE DU FORT SUISSE 59380 QUAEDYPRE,59380,QUAEDYPRE,59,,,,992944934,96.02B
Coiffure,VIRGILE,2025-06-30,ZA DU ROUDIER 2 AVENUE GABRIELLE CHANEL 24110 SAINT-ASTIER,24110,SAINT-ASTIER,24,,,,988993994,96.02A
Coiffure,KING AND QUEEN INTERNATIONAL LLC,2025-06-10,1209 MOUNTAIN ROAD PL NE STE N NM 87110  ALBUQUERQUE ETATS-UNIS,NM 87110,,,,,,944600832,96.02A
Soins de beauté / esthétique,FRENCH BEAUTY SERVICES,2025-04-15,74 RUE DE ROME 75008 PARIS,75008,PARIS,75,,,,943834952,96.02B
Soins de beauté / esthétique,MIREVAS,2025-04-11,61 RUE DE LYON 75012 PARIS,75012,PARIS,75,,,,943676122,96.02B
"Entretien corporel (spa, hammam...)",THAI SIAM SPA,2025-03-01,LES SALINES BAT I 09 RUE FRANCOIS PIETRI 20090 AJACCIO,20090,AJACCIO,2A,,,,941112062,96.04Z
Coiffure,BRODA BARBERSHOP,2025-01-01,7 CHEMIN DE LA MOULIERE 31620 CASTELNAU-D'ESTRETEFONDS,31620,CASTELNAU-D'ESTRETEFONDS,31,,,,100480086,96.02A
"Entretien corporel (spa, hammam...)",AISSAM BOUSSAHA,2025-01-01,8 AVENUE VICTOR HUGO 38130 ECHIROLLES,38130,ECHIROLLES,38,,,,939873550,96.04Z
"Entretien corporel (spa, hammam...)",CINDY CASSARD,2024-12-12,84 B AVENUE DES SALINES 44500 LA BAULE-ESCOUBLAC,44500,LA BAULE-ESCOUBLAC,44,,,,938522729,96.04Z
Coiffure,COLIN VAUTIER COIFFEUR (COLIN-VAUTIER),2024-11-07,CENTRE COMMERCIAL COTE DE NACRE 1 BOULEVARD MARECHAL JUIN 14000 CAEN,14000,CAEN,14,,,,935135491,96.02A
Soins de beauté / esthétique,6T-O&B,2024-09-01,14 RUE D'AUBUISSON 31000 TOULOUSE,31000,TOULOUSE,31,,,,933285017,96.02B
Soins de beauté / esthétique,LASER 26&CO,2024-06-04,384 RUE PARADIS 13008 MARSEILLE,13008,MARSEILLE,13,,,,930833546,96.02B
"Entretien corporel (spa, hammam...)",LUXURY NATURE,2024-05-27,23 RUE D'ANTIBES 06400 CANNES,06400,CANNES,06,,,,929236099,96.04Z
Soins de beauté / esthétique,ANNE-SOPHIE SUFFYS (GOUTANT) (COTE BIEN ETRE),2024-05-01,LANCIATOJO 141 ALLEE DES MIMOSAS 20290 BORGO,20290,BORGO,2B,,,,927441444,96.02B
"Entretien corporel (spa, hammam...)",SAO ZEN,2024-03-11,2 RUE DE LA FONTAINE ROUGE 77700 CHESSY,77700,CHESSY,77,,,,987436896,96.04Z
Soins de beauté / esthétique,APEX,2024-02-06,7 IMPASSE DES HAUTS DE LA MIGNONNE 29460 DAOULAS,29460,DAOULAS,29,,,,984334706,96.02B
"Entretien corporel (spa, hammam...)",NAMA SPA ALPES,2023-11-07,28 AVENUE DE GRANDCHAMP 78230 LE PECQ,78230,LE PECQ,78,,,,981609126,96.04Z
"Entretien corporel (spa, hammam...)",RELAX THAI INSTITUT,2023-10-06,AMY CENTER 60 IMPASSE DE FONT ROUBERT 06250 MOUGINS,06250,MOUGINS,06,,,,980469696,96.04Z
Soins de beauté / esthétique,BODYLIFT CLINIQUE,2023-09-25,14 RUE NOCARD 94220 CHARENTON LE PONT,94220,CHARENTON LE PONT,94,,,,980126569,96.02B
Soins de beauté / esthétique,ANTICA,2023-08-01,13 AVENUE PIERRE II D’ARAGON 31600 MURET,31600,MURET,31,,,,978946648,96.02B
Coiffure,NGRIOM,2023-03-09,2 PLACE NOTRE-DAME 03100 MONTLUCON,03100,MONTLUCON,03,,,,949704217,96.02A
"Entretien corporel (spa, hammam...)",CORINE ROCHETON (ROCHETON) (SOIN DE SOI),2023-02-01,LES MAS DU LEVANT 21 201 AVENUE DE LA VIGIE 83240 CAVALAIRE-SUR-MER,83240,CAVALAIRE-SUR-MER,83,,,,948332515,96.04Z
"Entretien corporel (spa, hammam...)",CAROLE VAILLANT (VAILLANT) (ESPACE DE SOIN CAROLE VAILLANT),2023-02-01,7 RUE DE LA HURTAUDERIE 37140 CHOUZE-SUR-LOIRE,37140,CHOUZE-SUR-LOIRE,37,,,,948497904,96.04Z
"Entretien corporel (spa, hammam...)",MYO BODY (MYO BODY),2023-01-11,2316 ROUTE DE REMIRE 97354 REMIRE-MONTJOLY,97354,REMIRE-MONTJOLY,973,,,,948044219,96.04Z
"Entretien corporel (spa, hammam...)",LUXURY SUN,2023-01-02,6 RUE DU LANTISSARGUES 34070 MONTPELLIER,34070,MONTPELLIER,34,,,,922444120,96.04Z
"Entretien corporel (spa, hammam...)",SUMMER SUN,2022-12-01,83 AVENUE SIMON BOLIVAR 75019 PARIS,75019,PARIS,75,,,,947894929,96.04Z
Coiffure,NGLIMOGES,2022-05-13,2 PLACE NOTRE-DAME 03100 MONTLUCON,03100,MONTLUCON,03,,,,913653416,96.02A
Soins de beauté / esthétique,LASER 26,2022-04-14,384 RUE PARADIS 13008 MARSEILLE,13008,MARSEILLE,13,,,,912620861,96.02B
Soins de beauté / esthétique,CLINIC 26,2022-04-14,20 ALL CAMILLE BORGHESE 13080 AIX EN PROVENCE,13080,AIX EN PROVENCE,13,,,,912534757,96.02B
"Entretien corporel (spa, hammam...)",SYLVIE MARIE PRADE (RICHART) (SYLVIE MASSAGES),2022-04-07,MAS SELLIER 425 CHEMIN DU VAQUIER 30330 SAINT-ANDRE-D'OLERARGUES,30330,SAINT-ANDRE-D'OLERARGUES,30,,,,912351558,96.04Z
Coiffure,QUATORZE (DOUBLE SIX),2022-03-16,11 B RUE LORD BYRON 75008 PARIS,75008,PARIS,75,,,,911647568,96.02A
Soins de beauté / esthétique,EPILHOUSE,2022-01-14,104 AVENUE GAMBETTA 93170 BAGNOLET,93170,BAGNOLET,93,,,,909212789,96.02B
Coiffure,COIFFURE 08,2021-10-22,23 RUE GAMBETTA 08200 SEDAN,08200,SEDAN,08,,,,905066809,96.02A
Soins de beauté / esthétique,CRLAB FRANCE,2021-10-13,13 RUE DU CURE SAINT-ETIENNE 59800 LILLE,59800,LILLE,59,,,,904415379,96.02B
Soins de beauté / esthétique,VICTORIA'S BEAUTY,2021-08-27,60 RUE FRANCOIS IER 75008 PARIS,75008,PARIS,75,,,,902830611,96.02B
"Entretien corporel (spa, hammam...)",BEAUTY WELLNESS CENTER AND SPA (BEAUTY AND BODY PARADISE) (BWCS),2021-08-25,22 RUE DES TULIPES 97122 BAIE-MAHAULT,97122,BAIE-MAHAULT,971,,,,903311488,96.04Z
"Entretien corporel (spa, hammam...)",KA BEAUTY AND SCULPT,2021-08-16,6 RUE DE CHATILLON 92140 CLAMART,92140,CLAMART,92,,,,902100445,96.04Z
"Entretien corporel (spa, hammam...)",GENESTSANTE,2021-05-17,47 RUE GABRIELLE BRUNET 54510 TOMBLAINE,54510,TOMBLAINE,54,,,,899336614,96.04Z
