Secteur,Nom,Date création,Adresse,Code postal,Ville,Département,Téléphone,Email,Site web,SIREN,NAF
"Entretien corporel (spa, hammam...)",T&N STUDIOS (LE STUDIO 11),2026-05-12,36 QUAI DE LA LIBERATION 76480 DUCLAIR,76480,DUCLAIR,76,,,,104982285,96.04Z
"Entretien corporel (spa, hammam...)",SHANTI G,2026-05-01,27 RUE PIERRE ANDRON 33520 BRUGES,33520,BRUGES,33,,,,104581079,96.04Z
"Entretien corporel (spa, hammam...)",VG800,2026-03-02,24 RUE VOLLANT 49800 TRELAZE,49800,TRELAZE,49,,,,101179729,96.04Z
"Entretien corporel (spa, hammam...)",NOV'AMBRE,2026-02-06,15 RUE VOLTAIRE 62300 LENS,62300,LENS,62,,,,101496149,96.04Z
"Entretien corporel (spa, hammam...)",AUREA STUDIO DRAINAGE 74,2026-02-02,361 CHEMIN DE POESY 74330 POISY,74330,POISY,74,,,,100517283,96.04Z
"Entretien corporel (spa, hammam...)",SUPA THAI BIEN-ETRE (S T B E),2026-02-01,61 RUE CARNOT 05000 GAP,05000,GAP,05,,,,101034759,96.04Z
Soins de beauté / esthétique,BARBER SHOP PARIS,2025-12-22,84 B RUE DE FRANCHEPRE 54240 JŒUF,54240,JŒUF,54,,,,995306115,96.02B
Coiffure,BARBER V,2025-12-01,RUE DE BEL AIR 42390 VILLARS,42390,VILLARS,42,,,,994503308,96.02A
Coiffure,CUT 94 (CUT CORNER),2025-12-01,17 RUE LOUIS LENOIR 94350 VILLIERS-SUR-MARNE,94350,VILLIERS-SUR-MARNE,94,,,,100899764,96.02A
Coiffure,LAFITTE FAMILY,2025-11-08,480 ALLEE DES CANTONS 83640 PLAN-D'AUPS-SAINTE-BAUME,83640,PLAN-D'AUPS-SAINTE-BAUME,83,,,,994282705,96.02A
"Entretien corporel (spa, hammam...)",KAIRE,2025-11-06,28 AVENUE DE GRANDCHAMP 78230 LE PECQ,78230,LE PECQ,78,,,,993651439,96.04Z
Soins de beauté / esthétique,CLEARUP PARIS,2025-11-02,8 RUE DU FORT SUISSE 59380 QUAEDYPRE,59380,QUAEDYPRE,59,,,,992944934,96.02B
Soins de beauté / esthétique,ATHENA LASER,2025-09-02,21 RUE DU HAUT DES JARDINS 14920 MATHIEU,14920,MATHIEU,14,,,,990794810,96.02B
Coiffure,ORIGINAL STUDIO (ORIGINAL STUDIO),2025-09-01,803 ROUTE DE TAMNIES 24200 SARLAT-LA-CANEDA,24200,SARLAT-LA-CANEDA,24,,,,989859913,96.02A
Soins de beauté / esthétique,P7M,2025-08-06,17 AVENUE JULES FERRY 03100 MONTLUCON,03100,MONTLUCON,03,,,,990085524,96.02B
