Secteur,Nom,Date création,Adresse,Code postal,Ville,Département,Téléphone,Email,Site web,SIREN,NAF
Soins de beauté / esthétique,NATALYA TORCATIS (NEBORAK),2026-07-16,12 AVENUE DU VALLESPIR 66110 AMELIE-LES-BAINS-PALALDA,66110,AMELIE-LES-BAINS-PALALDA,66,,,,106426919,96.02B
"Entretien corporel (spa, hammam...)",CASSANDRA AZOUZ-BEAU (AZOUZ) (DETENTE BY CASSANDRA),2026-07-15,12 RUE DES GRENACHES 66550 CORNEILLA-LA-RIVIERE,66550,CORNEILLA-LA-RIVIERE,66,,,,107420408,96.04Z
Soins de beauté / esthétique,JADE PETIT (JND CREATION NAIL'S),2026-07-01,18 RUE PABLO PICASSO 66300 BANYULS-DELS-ASPRES,66300,BANYULS-DELS-ASPRES,66,,,,106433725,96.02B
"Entretien corporel (spa, hammam...)",ELLA ANGLADE (ELLA ANGLADE EI),2026-06-17,16 AVINGUDA DE LA TORRE D'EN SORRA 66700 ARGELES-SUR-MER,66700,ARGELES-SUR-MER,66,,,,106465081,96.04Z
"Entretien corporel (spa, hammam...)",ALEXIS GREUS (BEZOMBES) (ALEX MASSAGE),2026-06-17,6 ALLEE JOSEPH COMITI 66450 POLLESTRES,66450,POLLESTRES,66,,,,106497118,96.04Z
Coiffure,NERMINE RAFIA (NUANCE COIFFURE),2026-06-12,2 RUE GEORGES COURTELINE 66000 PERPIGNAN,66000,PERPIGNAN,66,,,,106174378,96.02A
Soins de beauté / esthétique,BEAUTY ASCENSION (BEAUTY ASCENSION),2026-06-09,43 RUE JEAN JAURES 66200 ALENYA,66200,ALENYA,66,,,,106323876,96.02B
"Entretien corporel (spa, hammam...)",YUPIN NAREERAK (SIAM ELITE WELLNES),2026-06-09,20 AVENUE DES SOUVENIRS 66680 CANOHES,66680,CANOHES,66,,,,106647647,96.04Z
Soins de beauté / esthétique,AURELIE BILLAUX (SIEGLER) (LUNAMERA),2026-06-01,6 RUE DE LA PAIX 66200 ELNE,66200,ELNE,66,,,,105221402,96.02B
Coiffure,ASSIA MEDDAH (HAIR'BEAUTY),2026-05-27,27 BOULEVARD ARAGO 66600 RIVESALTES,66600,RIVESALTES,66,,,,104471305,96.02A
Coiffure,MAUREEN FIORASO (MF COIFFURE),2026-05-18,2 PLACE BEAUSOLEIL 66240 SAINT-ESTEVE,66240,SAINT-ESTEVE,66,,,,104753207,96.02A
Coiffure,ROBERT SALAZAR VARGAS,2026-05-01,41 AVENUE JEAN JAURES 66270 LE SOLER,66270,LE SOLER,66,,,,103957106,96.02A
Soins de beauté / esthétique,ENTRE NOUS BEAUTE,2026-04-17,ZAE TECHNOSUD 280 RUE JAMES WATT 66100 PERPIGNAN,66100,PERPIGNAN,66,,,,106236797,96.02B
Soins de beauté / esthétique,JUSTINE CHOPLAIN (CHOPLAIN),2026-04-08,NIDOLERES 4 RUE SAINT ELOI 66300 TRESSERRE,66300,TRESSERRE,66,,,,103507281,96.02B
Coiffure,ARSCUGI COIFFURE,2026-04-01,23 RUE GAMBETTA 66330 CABESTANY,66330,CABESTANY,66,,,,103329181,96.02A
"Entretien corporel (spa, hammam...)",EMILIE POMEDIO (PHILOMENE PRATICIENNE MASSAGE BIEN-ETRE),2026-04-01,20 RUE CESAR FRANCK 66750 SAINT-CYPRIEN,66750,SAINT-CYPRIEN,66,,,,103179891,96.04Z
"Entretien corporel (spa, hammam...)",HIND RAHMANI (DAANOUN) (INSTANT.PLAISIRHD),2026-03-30,10 B RUE DES EGLANTIERS 66670 BAGES,66670,BAGES,66,,,,101818474,96.04Z
"Entretien corporel (spa, hammam...)",CHRISTELLE GUARDIA,2026-03-28,23 AVENUE DES CERISIERS 66500 PRADES,66500,PRADES,66,,,,103033361,96.04Z
"Entretien corporel (spa, hammam...)",MELANIE BUXEDA (PERLE DE MAINS),2026-03-23,5 RUE DES TADORNES 66380 PIA,66380,PIA,66,,,,101689073,96.04Z
Soins de beauté / esthétique,STELLA WILLIAM (S'N),2026-03-18,15 RUE DU COL-DE-MARIALLES 66100 PERPIGNAN,66100,PERPIGNAN,66,,,,102638053,96.02B
"Entretien corporel (spa, hammam...)",CHARLIE VAN VOOREN (PRANA CHARLIE),2026-03-03,7 CAMIN DE LES OLIVEDES 66300 LLUPIA,66300,LLUPIA,66,,,,101939619,96.04Z
